name,location,year,size,cost,adjusted
FWS Wetland, Texas, 2007, 512, 11207000, 15978502
FWS Wetland, Texas, 2009, 65, 1951000,2621980
FWS Wetland, Texas, 2002, 6, 294300,486433
OEW, Florida, 1985, 1200, 21500000,60000000
Santa Clara, CA, 2007, 8, 279320,0
El Dorado, CA, 2007, 3, 899066,0
Coyote Creek, CA, 2007, 22, 1866691,0
Santa Clara, CA, 2007, 20, 7618326,0
Sacramento, CA, 2007, 14, 500204,0
Sacramento, CA, 2007,21,344342,0
Sacramento, CA, 2007, 14, 559382,0
Santa Clara, CA, 2007,9,4661349,0
Santa Clara, CA, 2007, 20, 6634522,0
    


